run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0337,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,10.697,1.59,408.16,19.29,34.28,15.324,1.7,borderline-avoidable,5.71
run_0344,SAC_v3_1600k,35.0,60.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,10.175,1.564,408.16,19.44,34.28,15.324,1.76,avoidable,11.97
run_0345,SAC_v3_1600k,35.0,60.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,10.744,1.594,408.16,19.41,34.28,15.324,1.7,avoidable,11.97
run_0352,SAC_v3_1600k,35.0,60.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,11.375,1.685,408.16,19.24,34.14,15.26,1.78,avoidable,19.79
run_0353,SAC_v3_1600k,35.0,60.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,12.003,1.713,408.16,19.76,34.14,15.26,1.72,avoidable,19.79
run_0360,SAC_v3_1600k,35.0,60.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,slowed_avoided,1.795,0.264,408.16,7.29,34.43,15.392,,borderline-impossible,-6.81
run_0361,SAC_v3_1600k,35.0,60.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,slowed_avoided,1.805,0.273,408.16,7.5,34.43,15.392,,borderline-impossible,-6.81
run_0368,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.2,4.0,2.5,ClearSunset,True,False,full_stop,2.284,0.483,408.16,17.15,34.4,15.377,1.86,avoidable,inf
run_0369,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.2,4.0,5.0,ClearSunset,True,False,full_stop,2.283,0.482,408.16,17.17,34.4,15.377,1.86,avoidable,inf
run_0376,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.6,4.0,2.5,ClearSunset,True,False,full_stop,10.262,1.561,408.16,19.32,34.28,15.324,1.76,avoidable,inf
run_0377,SAC_v3_1600k,35.0,60.0,1.8,left,far,2.6,4.0,5.0,ClearSunset,True,False,full_stop,10.798,1.59,408.16,19.28,34.28,15.324,1.7,avoidable,inf
run_0384,SAC_v3_1600k,35.0,60.0,1.8,left,far,3.0,4.0,2.5,ClearSunset,True,False,full_stop,10.362,1.564,408.16,19.44,34.28,15.324,1.76,avoidable,inf
run_0385,SAC_v3_1600k,35.0,60.0,1.8,left,far,3.0,4.0,5.0,ClearSunset,True,False,full_stop,10.901,1.594,408.16,19.4,34.28,15.324,1.7,avoidable,inf
run_0392,SAC_v3_1600k,35.0,60.0,1.8,left,far,3.5,4.0,2.5,ClearSunset,True,False,full_stop,11.675,1.696,408.16,19.21,34.14,15.26,1.78,avoidable,inf
run_0393,SAC_v3_1600k,35.0,60.0,1.8,left,far,3.5,4.0,5.0,ClearSunset,True,False,full_stop,12.415,1.725,408.16,19.81,34.14,15.26,1.7,avoidable,inf
run_0400,SAC_v3_1600k,35.0,120.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,True,collision,2.636,0.301,408.16,8.65,34.78,15.547,,borderline-impossible,-6.81
run_0401,SAC_v3_1600k,35.0,120.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,True,collision,2.636,0.288,408.16,8.7,34.78,15.547,,borderline-impossible,-6.81
run_0408,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,True,collision,2.624,0.422,408.16,8.63,34.76,15.539,,borderline-impossible,-0.55
run_0409,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,True,collision,2.668,0.43,408.16,8.65,34.76,15.539,,borderline-impossible,-0.55
run_0416,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,8.961,1.465,408.16,11.06,34.72,15.523,1.78,borderline-avoidable,5.71
run_0417,SAC_v3_1600k,35.0,120.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,9.406,1.498,408.16,11.05,34.72,15.523,1.74,borderline-avoidable,5.71
run_0424,SAC_v3_1600k,35.0,120.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,10.148,1.579,408.16,11.23,34.71,15.518,1.82,avoidable,11.97
run_0425,SAC_v3_1600k,35.0,120.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,10.557,1.592,408.16,11.22,34.71,15.518,1.76,avoidable,11.97
run_0432,SAC_v3_1600k,35.0,120.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,15.45,2.143,408.16,11.32,34.67,15.501,2.0,avoidable,19.79
run_0433,SAC_v3_1600k,35.0,120.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,15.721,2.13,408.16,11.3,34.67,15.501,1.92,avoidable,19.79
run_0440,SAC_v3_1600k,35.0,120.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,slowed_avoided,1.781,0.248,408.16,5.69,34.78,15.547,,borderline-impossible,-6.81
run_0441,SAC_v3_1600k,35.0,120.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,slowed_avoided,1.779,0.248,408.16,5.78,34.78,15.547,,borderline-impossible,-6.81
run_0448,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.2,4.0,2.5,ClearSunset,True,False,full_stop,2.124,0.448,408.16,10.39,34.76,15.539,,avoidable,inf
run_0449,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.2,4.0,5.0,ClearSunset,True,False,full_stop,2.139,0.455,408.16,10.43,34.76,15.539,,avoidable,inf
run_0456,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.6,4.0,2.5,ClearSunset,True,False,full_stop,9.117,1.465,408.16,11.06,34.72,15.523,1.78,avoidable,inf
run_0457,SAC_v3_1600k,35.0,120.0,1.8,left,far,2.6,4.0,5.0,ClearSunset,True,False,full_stop,9.542,1.497,408.16,11.05,34.72,15.523,1.74,avoidable,inf
run_0464,SAC_v3_1600k,35.0,120.0,1.8,left,far,3.0,4.0,2.5,ClearSunset,True,False,full_stop,10.248,1.568,408.16,10.94,34.71,15.518,,avoidable,inf
run_0465,SAC_v3_1600k,35.0,120.0,1.8,left,far,3.0,4.0,5.0,ClearSunset,True,False,full_stop,10.406,1.579,408.16,10.97,34.71,15.518,,avoidable,inf
run_0472,SAC_v3_1600k,35.0,120.0,1.8,left,far,3.5,4.0,2.5,ClearSunset,True,False,full_stop,17.174,2.143,408.16,10.05,34.67,15.501,,avoidable,inf
run_0473,SAC_v3_1600k,35.0,120.0,1.8,left,far,3.5,4.0,5.0,ClearSunset,True,False,full_stop,17.004,2.131,408.16,9.39,34.67,15.501,,avoidable,inf
run_0480,SAC_v3_1600k,40.0,60.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,True,collision,2.638,0.28,408.16,15.93,39.31,17.575,,impossible,-13.49
run_0481,SAC_v3_1600k,40.0,60.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,True,collision,2.643,0.296,408.16,15.87,39.31,17.575,,impossible,-13.49
run_0488,SAC_v3_1600k,40.0,60.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,True,collision,2.659,0.323,408.16,15.84,39.21,17.528,,borderline-impossible,-6.34
run_0489,SAC_v3_1600k,40.0,60.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,True,collision,2.699,0.327,408.16,15.99,39.21,17.528,,borderline-impossible,-6.34
run_0496,SAC_v3_1600k,40.0,60.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,5.737,1.032,408.16,17.78,38.84,17.363,2.0,borderline-avoidable,0.81
run_0497,SAC_v3_1600k,40.0,60.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,6.386,1.111,408.16,17.68,38.84,17.363,1.92,borderline-avoidable,0.81
run_0504,SAC_v3_1600k,40.0,60.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,5.758,1.039,408.16,17.79,38.94,17.406,2.02,borderline-avoidable,7.97
run_0505,SAC_v3_1600k,40.0,60.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,6.198,1.089,408.16,17.53,38.94,17.406,1.96,borderline-avoidable,7.97
run_0512,SAC_v3_1600k,40.0,60.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,5.98,1.071,408.16,17.88,38.84,17.363,1.98,avoidable,16.91
run_0513,SAC_v3_1600k,40.0,60.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,6.452,1.126,408.16,17.7,38.84,17.363,1.92,avoidable,16.91
run_0520,SAC_v3_1600k,40.0,60.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,slowed_avoided,1.735,0.24,408.16,7.32,39.31,17.575,,impossible,-13.49
run_0521,SAC_v3_1600k,40.0,60.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,slowed_avoided,1.759,0.252,408.16,7.44,39.31,17.575,,impossible,-13.49
